"EventID";"eventRemarks";"date";"year";"locationID";"stateProvince";"municipality";"locality";"verbatimLocality";"sampleSizeValue";"sampleSizeUnit";"rodentOcc"
"650E92F7-814C-4555-8EF6-F618AE4685BF";"LineTransect";"2021-08-04";2021;"C8C331A6-7719-49E4-A047-DBAB8AD9E889";"Nordland";"Hemnes";"Kjensvatn";"Helgeland 3";2368;"metre";0
"4822320C-B8D6-4A5F-B7D8-BADA083EE453";"LineTransect";"2021-08-04";2021;"044B06AF-C7BE-4DC4-8327-1179358E3A80";"Buskerud";"Kongsberg";"Sølvverket";"Sølvverket";1201;"metre";0
"716F72DA-4047-4FDE-82BA-E6C10AA65310";"LineTransect";"2021-08-04";2021;"8CD5E34F-5D99-47CE-836F-EDFB3AE880EE";"Nord-Trøndelag";"Snåsa";"Snåsa Fjellstyre";"Snåsa Fjellstyre";2532;"metre";0
"EEB4F0A3-3405-41D7-A760-C99463AF8C0C";"LineTransect";"2021-08-04";2021;"376D2369-E34E-45F4-A214-525E3858A843";"Nord-Trøndelag";"Snåsa";"Snåsa Fjellstyre";"Snåsa Fjellstyre";2790;"metre";0
"D43947CB-2055-455D-A214-4E42629C0EAC";"LineTransect";"2021-08-04";2021;"DAA713BD-09F0-4FD4-BB3A-58BBDEEE089D";"Nordland";"Saltdal";"Harodalen";"Midtre Salten";2735;"metre";0
"4CD8858B-F7BC-45F3-B8C1-BECF023DC4EE";"LineTransect";"2021-08-04";2021;"13E3ED21-FD74-4A41-97B1-2CC89DAD7CFA";"Nordland";"Saltdal";"Harodalen";"Midtre Salten";3792;"metre";0
"AD6C94E4-43C6-414D-BC97-CEEE789D3BCE";"LineTransect";"2021-08-03";2021;"F8FA75F5-9680-4B93-90DF-EC4776A6E305";"Nordland";"Saltdal";"Saltfjellet";"Indre Salten";1123;"metre";0
"685CB2C1-3F09-4497-B008-D13BCE4D61FE";"LineTransect";"2021-08-03";2021;"3F324C69-3E3B-4502-BE5A-74048DF1C304";"Nordland";"Saltdal";"Saltfjellet";"Indre Salten";1048;"metre";0
"65B4E6BF-4144-4AC3-9E62-D3AA1FCB27C9";"LineTransect";"2021-08-04";2021;"96EDD5B0-472A-49EB-A703-ADF802F87B62";"Oppland";"Gausdal";"Gausdal refugie.";"Gausdal Fjellstyre";3301;"metre";0
"ED65C57D-A921-4A73-BA61-EA5805233F08";"LineTransect";"2021-08-05";2021;"7EAE4FA5-E5CC-427F-8D56-9179193FE92E";"Oppland";"Gausdal";"Gausdal refugie.";"Gausdal Fjellstyre";3501;"metre";0
"E44FF77E-EDC6-4B6A-9B6E-4B0A7D381CBA";"LineTransect";"2021-08-04";2021;"8A636B33-DCEA-4167-A17E-FC17ECEB66CA";"Oppland";"Gausdal";"Gausdal refugie.";"Gausdal Fjellstyre";3201;"metre";0
"3BAF8417-08CC-46ED-B368-B44E8D25DCAC";"LineTransect";"2021-08-04";2021;"57DC0A55-9DF2-43EC-9D37-BD9A73BE254A";"Oppland";"Gausdal";"Gausdal refugie.";"Gausdal Fjellstyre";3073;"metre";0
"23D26958-EF22-4B06-B073-AA2F5FCDFE46";"LineTransect";"2021-08-05";2021;"43DC9814-3CBE-4AAE-BDB6-75D4C1A721CB";"Hedmark";"Åmot";"Regionfelt Østlandet";"Regionfelt Østlandet";2583;"metre";0
"123CA31A-ED6B-44DF-997A-0DA5F0AD0A45";"LineTransect";"2021-08-05";2021;"4AA01E4B-5CFB-4408-B885-CD7E93698D06";"Sør-Trøndelag";"Holtålen";"Båttjønndalen";"Ålen og Haltdalen Fjellstyre";2535;"metre";0
"D29C2BEE-0735-4A49-9A71-0EC5F2233981";"LineTransect";"2021-08-05";2021;"319E64CA-9920-4278-B716-F3837357B7AC";"Hedmark";"Åmot";"Regionfelt Østlandet";"Regionfelt Østlandet";1832;"metre";0
"A2DC9889-D0D2-43CC-B420-8512A8719E3A";"LineTransect";"2021-08-05";2021;"8B3FAC7B-C726-46B1-A90A-D5CA0A8F3A2F";"Nord-Trøndelag";"Snåsa";"Snåsa Fjellstyre";"Snåsa Fjellstyre";3736;"metre";0
"A985E6B7-5CAF-4E74-A319-B095D8B6B08B";"LineTransect";"2021-08-04";2021;"540EE68E-E7B5-45A5-B670-18D59DCAED80";"Nord-Trøndelag";"Snåsa";"Snåsa Fjellstyre";"Snåsa Fjellstyre";3061;"metre";0
"F678A7B3-F727-4F08-9E15-E0AE897A35FB";"LineTransect";"2021-08-04";2021;"8235C4A3-392D-4B39-86B2-58F45BA0FE62";"Nord-Trøndelag";"Snåsa";"Snåsa Fjellstyre";"Snåsa Fjellstyre";3508;"metre";0
"EE936B56-F178-4797-8275-FE7F3E4854FC";"LineTransect";"2021-08-05";2021;"BC7F333F-0357-4132-B31B-91BD16AE49F1";"Nordland";"Hemnes";"Kjensvatn";"Helgeland 3";1992;"metre";0
"74E4956B-4A22-411A-8DB2-16188671365E";"LineTransect";"2021-08-01";2021;"EFB50A1B-86A4-49EE-8328-D52F388EAD18";"Nordland";"Sørfold";"Nordre Salten";"Nordre Salten";1680;"metre";0
"B9B8F2FE-08E3-40E3-A592-848EFDD31AFD";"LineTransect";"2021-08-05";2021;"BAA1610F-B563-4C8A-B619-CA0A51ABEFF5";"Hedmark";"Stor-Elvdal";"Sollia";"Sollia Fjellstyre";2780;"metre";0
"D049EFB8-FF9F-4018-B318-4F1046C202C3";"LineTransect";"2021-08-05";2021;"5A779167-5DC1-4FA7-8A73-8D284C86E33D";"Troms";"Tranøy";"Svandalen";"Troms Ytre";4591;"metre";0
"818FA5F7-EBD5-4C28-99DF-8EFB7CDCC8B4";"LineTransect";"2021-08-05";2021;"DB974D15-69D1-4D6F-8F20-5CFEA0A2E864";"Nordland";"Saltdal";"Saltfjellet";"Indre Salten";2155;"metre";0
"832FF5E3-EA0B-4787-8E82-1FBF8DBFD331";"LineTransect";"2021-08-05";2021;"2ED8DC14-E6D6-4DF7-8C8B-9CA640503C65";"Hedmark";"Stor-Elvdal";"Sollia";"Sollia Fjellstyre";3036;"metre";0
"40175691-382A-4823-B093-6A6BF2DADDFC";"LineTransect";"2021-08-05";2021;"E4AF126E-B51F-44C1-8E71-40D538D7F221";"Finnmark";"Tana";"Tanadalen";"Øst Finnmark";3074;"metre";0
"5E811FD4-9BEF-4769-A307-29F8D62A7228";"LineTransect";"2021-08-04";2021;"9F3AB4D7-E4F7-4D14-AEB7-37DF6B1A6CC5";"Oppland";"Sør-Fron";"Fron Fjellstyre";"Fron Fjellstyre";3450;"metre";0
"9E121098-9D95-4F2A-A1FD-4CA627460600";"LineTransect";"2021-08-05";2021;"25C78913-3E8F-4E70-B2F1-651EFDE45EFD";"Sør-Trøndelag";"Midtre Gauldal";"Risknappan";"Budal Fjellstyre";1498;"metre";0
"AAF2AAB2-70EC-4F0A-AB41-A90AF6812471";"LineTransect";"2021-08-04";2021;"FB4A815B-5471-458B-8CAB-7C3DE40BF9AE";"Oppland";"Sør-Fron";"Fron Fjellstyre";"Fron Fjellstyre";3300;"metre";0
"0420D775-863E-4D6A-93C8-134B4881C9C3";"LineTransect";"2021-08-05";2021;"19B3962C-B7B2-4ACA-B5CB-558FBE9036A4";"Oppland";"Gausdal";"Gausdal refugie.";"Gausdal Fjellstyre";2702;"metre";0
"A09D25E5-AACF-49F9-9A8C-0E6C25BE5F31";"LineTransect";"2021-08-05";2021;"59F03B30-B480-4340-ABCE-CA22C93F2665";"Finnmark";"Sør-Varanger";"Pasvik";"Pasvik";2906;"metre";0
"4A4391AC-DF01-47F4-9ED6-C59360A9B9A5";"LineTransect";"2021-08-05";2021;"27B64D1B-30CC-420F-BA9D-C956218F9DA4";"Oppland";"Lesja";"Dalsia";"Lesja Fjellstyre";1950;"metre";0
"92D76F44-6794-4A04-BA0C-BEEAE7F4F442";"LineTransect";"2021-08-05";2021;"431BAA88-C17D-4484-8C91-F5E64A5E540E";"Nordland";"Hemnes";"Kjensvatn";"Helgeland 3";2051;"metre";0
"8F7C3175-BC40-4196-9241-77DF532087FF";"LineTransect";"2021-08-05";2021;"F844D94A-CB5B-4CEB-9413-A477F9785A01";"Nordland";"Saltdal";"Harodalen";"Midtre Salten";2742;"metre";1
"6F7BEC7B-5088-4AA9-BC03-6CD6B8EF93EA";"LineTransect";"2021-08-05";2021;"FB6CA87E-1BF6-467E-B362-8AAD34549C85";"Nordland";"Saltdal";"Harodalen";"Midtre Salten";3103;"metre";0
"3F0C3051-6D39-47A3-B8CE-AC0915250C97";"LineTransect";"2021-08-05";2021;"8F3DB2CE-E5CA-4391-A940-ABFF00690142";"Nordland";"Saltdal";"Saltfjellet";"Indre Salten";1528;"metre";1
"A7072E70-8946-46B3-89A8-08986C47F15F";"LineTransect";"2021-08-05";2021;"2D6FAAC4-804A-4245-AF69-63F69C34C0D2";"Sør-Trøndelag";"Holtålen";"Berghøgda";"Ålen og Haltdalen Fjellstyre";2019;"metre";0
"512C2C86-0E8A-4F30-9925-EFFE99EFDA9A";"LineTransect";"2021-08-05";2021;"DB251160-6DBA-406E-96BD-B534D119FEA3";"Sør-Trøndelag";"Holtålen";"Berghøgda";"Ålen og Haltdalen Fjellstyre";3130;"metre";0
"8C1938A0-A94E-4EFD-AB7C-25AA116922B8";"LineTransect";"2021-08-05";2021;"0E38854B-B49E-4E29-A672-C592BA5D81BB";"Nordland";"Saltdal";"Harodalen";"Midtre Salten";2910;"metre";0
"52EDDDC4-F58E-4AF0-AE3B-B2E99546C539";"LineTransect";"2021-08-05";2021;"EDB6226A-DB22-4871-8F0A-C7FC41B39518";"Nord-Trøndelag";"Snåsa";"Snåsa Fjellstyre";"Snåsa Fjellstyre";3476;"metre";0
"E4008597-4A37-41E9-A7E9-F0500D0336E2";"LineTransect";"2021-08-05";2021;"4DEFCA4F-A484-48B7-AFBA-5E09CB3B9146";"Finnmark";"Tana";"Tanadalen";"Øst Finnmark";2975;"metre";0
"6FC698BA-B28E-4FE8-A923-F2D108893D61";"LineTransect";"2021-08-05";2021;"2F24D3E6-DB6C-4AF1-8FC6-722D638F3FE2";"Finnmark";"Tana";"Tanadalen";"Øst Finnmark";2990;"metre";0
"56DC650F-A65B-4072-9CD2-1AEE3DC25A36";"LineTransect";"2021-08-05";2021;"78C0EC73-7D3D-46DF-96F6-D2986AD5D732";"Finnmark";"Tana";"Tanadalen";"Øst Finnmark";3465;"metre";0
"B7D4482F-92C7-416B-9A9F-233EE4B97E20";"LineTransect";"2021-08-05";2021;"34C82A9B-0DB1-4266-8706-AD2B3B832F1D";"Hedmark";"Stor-Elvdal";"Sollia";"Sollia Fjellstyre";2300;"metre";0
"E77B12BF-5612-43B9-95E1-1A91FAB6077D";"LineTransect";"2021-08-05";2021;"259E6AE7-E589-44CC-A832-E1A6414C9371";"Nordland";"Saltdal";"Saltfjellet";"Indre Salten";3269;"metre";0
"087ADB60-0197-4580-9FDE-532992340AD6";"LineTransect";"2021-08-05";2021;"7540EAD7-CB0D-4E1E-BC38-6F42B1234AA8";"Troms";"Tranøy";"Svandalen";"Troms Ytre";5965;"metre";0
"93CE0F33-F640-48A2-BC76-869162180220";"LineTransect";"2021-08-05";2021;"1A38C6E9-9D71-4987-B101-62EA89A35FB5";"Oppland";"Dovre";"Kongsvoll";"Kongsvoll";1813;"metre";0
"8088908A-F7BD-4098-BFA6-C49AB40547D1";"LineTransect";"2021-08-05";2021;"721F3229-39A7-49D9-928B-C9AD3784FEB4";"Oppland";"Dovre";"Gåvålia";"Kongsvoll";2114;"metre";1
